Column	Type	Name	Size	Score	P value	Benj. Hoch. FDR	Mean	Median
LFQ intensity 401#4	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.900206938527085	6.51034171881635E-29	5.83977652177827E-26	34.8966527255076	35.0679016113281
LFQ intensity 401#3	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.899346786139239	7.2996035828031E-29	6.54774441377438E-26	34.9361511446395	35.0306015014648
LFQ intensity 401#3	Keywords	Ribosomal protein	52	0.905861983675489	9.35480083024944E-29	1.31902691706517E-26	34.9922424829923	35.0673007965088
LFQ intensity WT#3	Gene Ontology (biological process)	translation [GO:0006412]	57	0.866547492179174	9.71192478687659E-29	4.96279356609394E-26	34.7050281323885	34.9570999145508
LFQ intensity 401#4	Keywords	Ribosomal protein	52	0.905123245548777	1.04113785100849E-28	1.46800436992197E-26	34.9458902799166	35.1410007476807
LFQ intensity WT#3	Keywords	Ribonucleoprotein	53	0.890799582078545	2.44912693298618E-28	6.90653795102102E-26	34.8829546874424	35.0867004394531
LFQ intensity WT#1	Gene Ontology (biological process)	translation [GO:0006412]	57	0.858478774656849	3.02762102614269E-28	1.54711434435892E-25	34.6700473584627	34.9762001037598
LFQ intensity WT#3	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.889004978182042	3.13620521003244E-28	2.8131760733991E-25	34.875066037448	35.0867004394531
LFQ intensity WT#3	Keywords	Ribosomal protein	52	0.895132211538462	4.1681687247987E-28	5.87711790196617E-26	34.9285211196313	35.0972003936768
LFQ intensity WT#1	Keywords	Ribonucleoprotein	53	0.883781873141241	6.31329620763569E-28	1.78034953055326E-25	34.8569490324776	35.1220016479492
LFQ intensity WT#1	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.883757495977768	6.3343997564935E-28	5.68195658157467E-25	34.8568283296981	35.1220016479492
LFQ intensity WT#1	Keywords	Ribosomal protein	52	0.888178477429607	1.05207403522837E-27	1.483424389672E-25	34.9009365301866	35.123950958252
LFQ intensity WT#2	Gene Ontology (biological process)	translation [GO:0006412]	57	0.849036729978594	1.14755719443105E-27	5.86401726354266E-25	34.5436824330112	34.9833984375
LFQ intensity WT#2	Keywords	Ribonucleoprotein	53	0.87664775419456	1.65927341240792E-27	4.67915102299032E-25	34.7346622539016	35.1072006225586
LFQ intensity WT#2	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.87596739117229	1.81985178829702E-27	1.63240705410243E-24	34.7316962188145	35.1072006225586
LFQ intensity WT#4	Gene Ontology (biological process)	translation [GO:0006412]	57	0.843100018086453	2.63353296774936E-27	1.34573534651992E-24	34.450386013901	34.7424011230469
LFQ intensity WT#2	Keywords	Ribosomal protein	52	0.880049005049005	3.11950581066884E-27	4.39850319304306E-25	34.774190389193	35.1109504699707
LFQ intensity WT#4	Gene Ontology (molecular function)	structural constituent of ribosome [GO:0003735]	53	0.864092739001795	8.98816172643545E-27	8.0623810686126E-24	34.6136057151938	34.9151000976563
LFQ intensity WT#4	Keywords	Ribonucleoprotein	53	0.863219673085318	1.01023870176189E-26	2.84887313896853E-24	34.6100132060501	34.9151000976563
LFQ intensity WT#4	Keywords	Ribosomal protein	52	0.866286250679314	1.93443177718005E-26	2.72754880582388E-24	34.6464346372164	34.9307498931885
LFQ intensity 401#1	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.875550518134715	2.89896448850978E-21	1.94230620730155E-19	34.850084733963	35.1731491088867
LFQ intensity 401#1	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.894941104378022	3.83363352513934E-21	1.28426723092168E-19	35.0041523983604	35.2303485870361
LFQ intensity 401#2	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.870573084352866	4.81242753277203E-21	3.22432644695726E-19	34.7762948989868	35.1338996887207
LFQ intensity 401#2	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.887392113724827	8.11610230308467E-21	2.71889427153336E-19	34.9151866812455	35.1503505706787
LFQ intensity 401#4	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.861196417146513	1.24760818757427E-20	8.35897485674762E-19	34.5719299316406	34.7325992584229
LFQ intensity 401#3	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.860402042118698	1.34882396464475E-20	9.03712056311985E-19	34.6159101486206	34.855001449585
LFQ intensity 401#3	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.881587333534602	1.43207898751999E-20	4.79746460819196E-19	34.7737816760415	34.9608516693115
LFQ intensity 401#4	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.879771313267193	1.71900294116196E-20	5.75865985289257E-19	34.717418369494	34.8274993896484
LFQ intensity 401#1	Keywords	rRNA-binding	42	0.834414180717682	2.50322888682103E-20	2.35303515361177E-18	34.7925618035453	35.1805000305176
LFQ intensity WT#3	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.84641472868217	5.60927477851912E-20	3.75821410160781E-18	34.5326898574829	34.8621006011963
LFQ intensity WT#3	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.867198641765705	5.97320751180577E-20	2.00102451645493E-18	34.6862918954147	34.9111499786377
LFQ intensity WT#3	Keywords	rRNA-binding	41	0.828432686395384	1.24004822236802E-19	1.16564532902594E-17	34.5647268527892	34.8628997802734
LFQ intensity WT#1	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.837347853939782	1.37135648504102E-19	9.18808844977484E-18	34.518240070343	34.9461994171143
LFQ intensity WT#1	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.858167491665825	1.42311136203942E-19	4.76742306283207E-18	34.6688684664275	34.9631996154785
LFQ intensity 401#2	Keywords	rRNA-binding	42	0.811611556292407	2.55004910778261E-19	2.39704616131566E-17	34.6323094595046	35.1503505706787
LFQ intensity WT#2	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.829501915708812	2.96318898929996E-19	1.98533662283097E-17	34.3993674278259	34.8313999176025
LFQ intensity WT#2	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.849053437164339	3.405649291664E-19	1.14089251270744E-17	34.5435315182335	34.933349609375
LFQ intensity 401#1	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	0.831316903161563	6.8148175432347E-19	3.05644566814076E-16	34.7861332526574	35.0638999938965
LFQ intensity 401#3	Keywords	rRNA-binding	42	0.801643085349156	6.85081311427771E-19	6.43976432742105E-17	34.4694120770409	34.7872505187988
LFQ intensity 401#4	Keywords	rRNA-binding	42	0.798999420395961	8.93312585395118E-19	8.39713830271411E-17	34.4098094304403	34.7686500549316
LFQ intensity WT#2	Keywords	rRNA-binding	42	0.797801729387407	1.00387713746168E-18	9.43644509213979E-17	34.3203738076346	34.703950881958
LFQ intensity WT#4	Gene Ontology (cellular component)	ribosome [GO:0005840]	40	0.81440407903123	1.28513993564007E-18	8.61043756878847E-17	34.2537351608276	34.6553001403809
LFQ intensity WT#4	Gene Ontology (cellular component)	ribonucleoprotein complex [GO:1990904]	38	0.830647592884184	1.93847649050711E-18	6.49389624319883E-17	34.3803738041928	34.7090511322021
LFQ intensity 401#1	Keywords	RNA-binding	83	0.568215567131952	2.6509213095885E-18	1.86889952325989E-16	33.0576831403985	33.921199798584
LFQ intensity WT#3	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	38	0.822546689303905	4.17385544980309E-18	1.87197416923669E-15	34.5468762548346	34.8621006011963
LFQ intensity WT#4	Keywords	rRNA-binding	42	0.783176831677151	4.21079687979315E-18	3.95814906700556E-16	34.2295475460234	34.6274490356445
LFQ intensity WT#1	Keywords	rRNA-binding	42	0.782934726167568	4.33369467233741E-18	4.07367299199717E-16	34.3401879810152	34.9025497436523
LFQ intensity 401#2	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	0.806817806817807	6.88065854315874E-18	3.08597535660669E-15	34.6108025281857	35.1449012756348
LFQ intensity 401#3	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	0.795820251177394	1.88984157126866E-17	8.47593944713994E-15	34.4469668070475	34.7657012939453
LFQ intensity 401#4	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	0.790592825759066	3.05957055975902E-17	1.37221739605192E-14	34.379479383811	34.7448997497559
LFQ intensity WT#2	Keywords	RNA-binding	83	0.547959401624884	3.84161527946554E-17	2.70833877202321E-15	32.8042530381536	33.4081993103027
LFQ intensity 401#2	Keywords	RNA-binding	83	0.547107635841379	4.36478601206128E-17	3.07717413850321E-15	32.9310554366514	33.4603004455566
LFQ intensity WT#2	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	0.779981346031123	8.0076941469575E-17	3.59145082491044E-14	34.2559385055151	34.6677017211914
LFQ intensity 401#4	Keywords	RNA-binding	83	0.542311350665821	8.05418561605138E-17	5.67820085931622E-15	32.8100577434862	33.5558013916016
LFQ intensity 401#3	Keywords	RNA-binding	83	0.539781171931822	1.11224499387498E-16	7.84132720681863E-15	32.8221242514001	33.6824989318848
LFQ intensity WT#4	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	0.774554956720562	1.30232804491082E-16	5.84094128142505E-14	34.1947486094939	34.6199989318848
LFQ intensity WT#3	Keywords	RNA-binding	81	0.54488928211556	1.31823847281815E-16	9.29358123336797E-15	32.879790129485	33.3199996948242
LFQ intensity WT#1	Gene Ontology (molecular function)	rRNA binding [GO:0019843]	39	0.773548048195935	1.43153601870371E-16	6.42043904388614E-14	34.3019794561924	34.8628997802734
LFQ intensity WT#4	Keywords	RNA-binding	83	0.529733613352493	4.01621329027834E-16	2.83143036964623E-14	32.7064540127674	33.0768013000488
LFQ intensity WT#1	Keywords	RNA-binding	83	0.525509151229424	6.91196931310325E-16	4.87293836573779E-14	32.7646781737546	33.5335998535156
LFQ intensity WT#4	Keywords	Protein biosynthesis	45	0.657544757033248	5.07223456104767E-14	2.86074029243089E-12	33.1746732076009	33.6147994995117
LFQ intensity WT#1	Keywords	Protein biosynthesis	45	0.654027420736932	6.92859727074771E-14	3.90772886070171E-12	33.2532174852159	33.7681999206543
LFQ intensity 401#3	Keywords	Protein biosynthesis	45	0.653378859012662	7.3087183350682E-14	4.12211714097846E-12	33.1773533291287	33.3653984069824
LFQ intensity 401#1	Keywords	Protein biosynthesis	45	0.653194715183019	7.51783880988069E-14	4.24006108877271E-12	33.2775091807048	33.692798614502
LFQ intensity WT#2	Keywords	Protein biosynthesis	45	0.650594348352196	9.31654403952389E-14	5.25453083829147E-12	33.2041867997911	33.7352981567383
LFQ intensity 401#4	Keywords	Protein biosynthesis	45	0.644772500356583	1.54326266157034E-13	8.7040014112567E-12	33.1398487938775	33.4165992736816
LFQ intensity 401#2	Keywords	Protein biosynthesis	45	0.642204995693368	1.93381980512461E-13	1.09067437009028E-11	33.1843844095866	33.3731994628906
LFQ intensity WT#3	Keywords	Protein biosynthesis	45	0.641924101677828	1.9860262006286E-13	1.12011877715453E-11	33.1515622456868	33.4277992248535
LFQ intensity 401#3	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	330	0.235381220189364	4.11246143844984E-11	9.18449721253798E-10	30.9581142252142	30.8868503570557
LFQ intensity 401#1	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	329	0.233914191259279	6.18627297961085E-11	1.38160096544642E-09	31.0203064046008	30.9675006866455
LFQ intensity 401#4	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	329	0.230583138095079	1.07452392173676E-10	2.39977009187877E-09	30.9439960468141	30.9015007019043
LFQ intensity 401#2	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	328	0.226653330762557	2.39276582109824E-10	5.3438436671194E-09	30.9662609740001	30.8834495544434
LFQ intensity WT#4	Keywords	Aminoacyl-tRNA synthetase	24	0.731545741324921	7.32107686674288E-10	3.44090612736915E-08	33.3952914873759	33.7316989898682
LFQ intensity WT#4	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	330	0.219416210581183	7.5883278484373E-10	1.69472655281766E-08	30.9439724141901	30.8298501968384
LFQ intensity 401#3	Keywords	Aminoacyl-tRNA synthetase	24	0.726100231627711	9.77247519160674E-10	4.59306334005517E-08	33.3975499471029	33.7413501739502
LFQ intensity 401#4	Keywords	Aminoacyl-tRNA synthetase	24	0.723981422841461	1.09352514950613E-09	5.13956820267882E-08	33.3742583592733	33.740550994873
LFQ intensity WT#1	Keywords	Aminoacyl-tRNA synthetase	24	0.72217818642993	1.20270410603548E-09	5.65270929836675E-08	33.4454789956411	33.8070487976074
LFQ intensity WT#2	Keywords	Aminoacyl-tRNA synthetase	24	0.721291613990729	1.25880219402747E-09	5.9163703119291E-08	33.4134710629781	33.7584495544434
LFQ intensity 401#1	Keywords	Aminoacyl-tRNA synthetase	24	0.720833333333333	1.2947680371094E-09	6.08540977441416E-08	33.4846793810527	33.9033508300781
LFQ intensity 401#3	Keywords	Cytoplasm	312	0.220507870507871	1.41152349028905E-09	5.68642320373589E-08	30.9095660172976	30.8461503982544
LFQ intensity 401#1	Keywords	Cytoplasm	311	0.219975600083859	1.72656875229666E-09	6.95560554496656E-08	30.9696727028997	30.9202003479004
LFQ intensity WT#3	Keywords	Aminoacyl-tRNA synthetase	24	0.711796675191816	2.07155856965751E-09	9.73632527739031E-08	33.3247416814168	33.7012996673584
LFQ intensity WT#2	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	331	0.213307268526746	2.13417818965806E-09	4.76633129023633E-08	30.9338348019879	30.9001998901367
LFQ intensity 401#2	Keywords	Aminoacyl-tRNA synthetase	24	0.710165710643722	2.25181985542915E-09	1.0583553320517E-07	33.3535125255585	33.7049999237061
LFQ intensity WT#1	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	329	0.21316501309476	2.41030355137617E-09	5.38301126474011E-08	30.9375236940239	30.9200000762939
LFQ intensity WT#3	Gene Ontology (cellular component)	cytoplasm [GO:0005737]	327	0.213313059146787	2.65226737784091E-09	5.9233971438447E-08	30.9760355643176	30.8852996826172
LFQ intensity 401#4	Keywords	Cytoplasm	311	0.216954695230605	2.72166189267699E-09	1.09644093390702E-07	30.8979813676938	30.8766994476318
LFQ intensity 401#2	Keywords	Cytoplasm	310	0.214454529454655	4.42675506958164E-09	1.78334989946003E-07	30.9214345255206	30.8485994338989
LFQ intensity WT#4	Keywords	Cytoplasm	312	0.207016191210486	1.31125381979677E-08	5.28247967403843E-07	30.9049281890576	30.8027000427246
LFQ intensity WT#3	Keywords	Cytoplasm	309	0.204521129219581	2.31493108015449E-08	9.32586520862238E-07	30.9516985007474	30.8831005096436
LFQ intensity WT#2	Keywords	Cytoplasm	313	0.202802507480684	2.48396962298477E-08	1.00068490525958E-06	30.9008866697074	30.882999420166
LFQ intensity WT#1	Keywords	Cytoplasm	311	0.20249009197637	2.85351955862797E-08	1.14956073647584E-06	30.9016990232314	30.8806991577148
LFQ intensity 401#2	Keywords	Glycolysis	14	0.843843300461413	5.24089820935763E-08	1.84741661879856E-06	35.0329570770264	35.091100692749
LFQ intensity 401#4	Keywords	Glycolysis	14	0.842308729659265	5.53522005677004E-08	1.95116507001144E-06	34.9056288855416	34.9912509918213
LFQ intensity WT#1	Keywords	Glycolysis	14	0.84003960752543	6.00904812938933E-08	2.11818946560974E-06	34.9428359440395	35.1478500366211
LFQ intensity WT#4	Keywords	Glycolysis	14	0.836721898790864	6.76669916711392E-08	2.38526145640766E-06	34.8711427961077	34.9622001647949
LFQ intensity 401#1	Keywords	Glycolysis	14	0.835031847133758	7.20602025064876E-08	2.54012213835369E-06	34.9847500664847	35.085298538208
LFQ intensity WT#2	Keywords	Glycolysis	14	0.834260588657574	7.39357524610847E-08	2.60623527425323E-06	34.8922501972743	35.0447998046875
LFQ intensity 401#3	Keywords	Glycolysis	14	0.834185274863241	7.41290796867653E-08	2.61305005895848E-06	34.8793855394636	34.9174003601074
LFQ intensity WT#3	Keywords	Glycolysis	14	0.833000544563442	7.7471837485601E-08	2.73088227136744E-06	34.9433785847255	35.0423011779785
LFQ intensity 401#3	Keywords	Ligase	63	0.361686816350029	1.10242661714993E-06	3.45427006706977E-05	31.555074570671	32.396598815918
LFQ intensity 401#1	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.575801282051282	1.25247137000726E-06	0.000374488939632172	33.2067833741506	34.0629501342773
LFQ intensity 401#2	Keywords	Ligase	63	0.35679012345679	1.54307994475141E-06	4.83498382688774E-05	31.5582714383564	32.5199012756348
LFQ intensity 401#4	Keywords	Ligase	63	0.356359513502371	1.5834888292308E-06	4.96159833158985E-05	31.5256730034238	32.2899017333984
LFQ intensity 401#2	Keywords	Chaperone	27	0.534506409346767	1.85953272590224E-06	5.24388228704433E-05	32.8832038596824	32.1099014282227
LFQ intensity WT#4	Keywords	Ligase	63	0.352871722211955	1.99642962976595E-06	6.25547950659999E-05	31.5564236716619	32.4103012084961
LFQ intensity 401#2	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.828525456844041	2.12071262040655E-06	0.000541842074513875	35.0201814824885	35.2187995910645
LFQ intensity 401#4	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.82560529922339	2.30152506905349E-06	0.000588039655143166	34.8902548009699	35.1038017272949
LFQ intensity 401#3	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.559959991577174	2.42498219427316E-06	0.000725069676087676	33.0208126703898	33.9178504943848
LFQ intensity WT#1	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.823213264722699	2.46195578447235E-06	0.000629029702932686	34.9250821200284	35.3381004333496
LFQ intensity 401#4	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.55924108085286	2.49923126462376E-06	0.000747270148122503	32.9993584156036	33.8757514953613
LFQ intensity 401#2	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.556750584236244	2.77249284866531E-06	0.000828975361750928	33.0511960188548	33.9046497344971
LFQ intensity WT#4	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.556256572029443	2.82424771692183E-06	0.000844450067359628	32.9267083009084	33.8173999786377
LFQ intensity WT#3	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.818297111892546	2.82740254064735E-06	0.000722401349135398	34.9661634618586	35.3917007446289
LFQ intensity 401#1	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.817835057504479	2.86474537404589E-06	0.000731942443068725	34.9665272452615	35.2622985839844
LFQ intensity WT#2	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.817155884867484	2.91608146052808E-06	0.000745058813164924	34.8875186226585	35.271900177002
LFQ intensity WT#4	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.817044032313119	2.92472660841628E-06	0.00074726764845036	34.8403091430664	35.1431999206543
LFQ intensity 401#3	Gene Ontology (biological process)	glycolytic process [GO:0006096]	11	0.816359079516974	2.98143629767189E-06	0.000761756974055167	34.8627177151767	35.0718994140625
LFQ intensity 401#4	Keywords	Chaperone	28	0.513333333333333	3.13070439551355E-06	8.8285863953482E-05	32.7044715200152	32.0411510467529
LFQ intensity WT#2	Keywords	Ligase	63	0.345369255933093	3.27879797862259E-06	0.000102735669996841	31.5377714369032	32.1307983398438
LFQ intensity 401#1	Keywords	Ligase	63	0.345272011938679	3.32119452904312E-06	0.000104064095243351	31.5228523981004	32.5485992431641
LFQ intensity 401#3	Keywords	Chaperone	28	0.503370125757713	4.83846315483053E-06	0.000136444660966221	32.6663643973214	31.9766511917114
LFQ intensity WT#1	Keywords	Ligase	63	0.33885483105249	5.00729145735908E-06	0.000156895132330584	31.4981617700486	32.2634010314941
LFQ intensity WT#3	Keywords	Transmembrane helix	141	-0.230351865194312	6.15490041047165E-06	0.000192853546194778	29.1999496973998	28.8764991760254
LFQ intensity 401#2	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.92192429022082	6.67742525023051E-06	0.000111846872941361	35.6099119186401	35.9447498321533
LFQ intensity WT#3	Keywords	Ligase	63	0.333499869893313	7.06953327671924E-06	0.000199360838403483	31.5342713310605	32.2669982910156
LFQ intensity WT#2	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.53302781289507	7.2039487881531E-06	0.00215398068765778	32.9127040704091	33.9298000335693
LFQ intensity 401#1	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.918464467005076	7.2319306488164E-06	0.000121134838367675	35.5994873046875	35.8757991790771
LFQ intensity WT#3	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.915981012658228	7.65379842996153E-06	0.000128201123701856	35.4634881019592	35.596700668335
LFQ intensity 401#4	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.915360501567398	7.75879162596594E-06	0.000129959759734929	35.3755626678467	35.7642002105713
LFQ intensity 401#1	Keywords	Chaperone	28	0.491415717958134	8.10065101064085E-06	0.000228438358500072	32.7206965173994	31.9619007110596
LFQ intensity 401#3	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.912757973733583	8.23232055514512E-06	0.000137891369298681	35.4063630104065	35.7992515563965
LFQ intensity WT#1	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.911723163841808	8.43051112739806E-06	0.000141211061383918	35.3580250740051	35.6275997161865
LFQ intensity WT#2	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.901282853566959	1.06771664333986E-05	0.000178842537759427	35.1790628433228	35.5392017364502
LFQ intensity WT#4	Gene Ontology (cellular component)	large ribosomal subunit [GO:0015934]	8	0.898657089319176	1.13256703184705E-05	0.000189704977834381	35.1261248588562	35.5023498535156
LFQ intensity WT#3	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.520513640238704	1.17690611901642E-05	0.0035189492958591	32.893212556839	33.8690490722656
LFQ intensity WT#4	Keywords	Chaperone	28	0.475332068311195	1.58109260948828E-05	0.000445868115875695	32.4500142506191	32.2061996459961
LFQ intensity WT#3	Gene Ontology (molecular function)	DNA-binding transcription factor activity [GO:0003700]	38	-0.405195246179966	1.92964525786877E-05	0.00432722949077071	28.1568264710276	28.0270004272461
LFQ intensity WT#1	Keywords	Chaperone	28	0.470120788302607	1.95866840167855E-05	0.000552344489273352	32.5035967145647	32.0972003936768
LFQ intensity WT#2	Keywords	Chaperone	28	0.469853340575774	1.9790222299827E-05	0.000558084268855123	32.4686932563782	32.1483497619629
LFQ intensity 401#2	Gene Ontology (molecular function)	DNA-binding transcription factor activity [GO:0003700]	39	-0.398524898524899	2.07860431286996E-05	0.00466127017161088	27.9339487124712	28.2134990692139
LFQ intensity WT#2	Gene Ontology (molecular function)	DNA-binding transcription factor activity [GO:0003700]	38	-0.402389903329753	2.19673498650834E-05	0.00492617820724495	28.0805576224076	28.0202493667603
LFQ intensity 401#4	Keywords	Transmembrane helix	140	-0.21546235719168	2.47441457631022E-05	0.000634349918654075	29.1392034939357	28.8283004760742
LFQ intensity WT#1	Gene Ontology (molecular function)	tRNA binding [GO:0000049]	24	0.498995983935743	2.65792969888824E-05	0.00794720979967585	32.7990164756775	33.9893989562988
LFQ intensity WT#3	Keywords	Chaperone	28	0.459752747252747	2.97887277111173E-05	0.000763674655866826	32.4865181786673	32.2398509979248
LFQ intensity 401#1	Keywords	tRNA-binding	19	0.555002522280141	3.13190765633453E-05	0.000802907235533033	33.1883632258365	34.1595001220703
LFQ intensity 401#2	Keywords	Transmembrane helix	140	-0.212053878674663	3.33706752324912E-05	0.000855502765051138	29.1145714078631	28.9224004745483
LFQ intensity 401#3	Gene Ontology (molecular function)	DNA-binding transcription factor activity [GO:0003700]	39	-0.385678309785453	3.79638347274738E-05	0.008513389937636	28.122461612408	28.3428001403809
LFQ intensity 401#4	Keywords	tRNA-binding	19	0.538111376927166	5.40827741602854E-05	0.00127094519276671	32.9819893084074	33.9674987792969
LFQ intensity 401#2	Keywords	tRNA-binding	19	0.537049421520765	5.59867234121519E-05	0.00131568800018557	33.046215960854	33.9830017089844
LFQ intensity 401#1	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.949725390790029	5.80904917237079E-05	0.000778412589097686	36.1074994405111	36.4929504394531
LFQ intensity 401#3	Keywords	tRNA-binding	19	0.535794776614079	5.82162477285444E-05	0.00149245289631359	33.0032476124011	33.9938011169434
LFQ intensity 401#3	Keywords	Transmembrane helix	141	-0.204464311631012	5.93849655040127E-05	0.0013955466893443	29.185509904902	28.9829006195068
LFQ intensity WT#4	Keywords	tRNA-binding	19	0.53227408142999	6.50932390779428E-05	0.0016687539472709	32.883810444882	33.8886985778809
LFQ intensity WT#3	Keywords	Transmembrane	158	-0.192967159422856	6.73490182693356E-05	0.00158270192932939	29.3992057389851	29.0549507141113
LFQ intensity 401#1	Keywords	Transmembrane helix	141	-0.203063947744799	6.7497814124374E-05	0.00158619863192279	29.1574752347689	28.792200088501
LFQ intensity WT#4	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.939904346017883	6.92062758377708E-05	0.000927364096226129	35.691899617513	36.2014999389648
LFQ intensity 401#2	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.939298466708675	6.99822607365114E-05	0.000937762293869252	35.981616973877	36.3854999542236
LFQ intensity 401#4	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.939261114589856	7.0012692627768E-05	0.000938170081212091	35.8199825286865	36.2907485961914
LFQ intensity 401#3	Gene Ontology (cellular component)	small ribosomal subunit [GO:0015935]	6	0.937955444513845	7.16506732112966E-05	0.000960119021031375	35.8236668904622	36.2917995452881
