LIM	Fe10uM	Fe100uM	Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	id
32.2268562316895	32.0983428955078	32.1236839294434				19	19	19	51.8	51.8	51.8	47.525	0	173.36	56243000000	245	A6T4M9	A6T4M9	51
28.8496322631836	28.5459747314453	28.5979499816895				3	3	3	8.1	8.1	8.1	39.937	0	6.5134	4878400000	37	A6T4N0	A6T4N0	52
31.3214569091797	31.0737590789795	31.0540504455566				12	12	12	37.4	37.4	37.4	46.862	0	109.12	27470000000	125	A6T4N1	A6T4N1	53
27.2160243988037	27.713228225708	27.6274604797363				5	5	5	9.9	9.9	9.9	47.208	0	6.5925	2410000000	31	A6T4N2	A6T4N2	54
31.3306198120117	31.2904567718506	31.4091110229492				13	13	13	50.6	50.6	50.6	38.044	0	97.159	31087000000	204	A6T4N3	A6T4N3	55
31.2959308624268	31.0782909393311	31.2223052978516				13	13	13	32.2	32.2	32.2	53.491	0	98.824	28219000000	143	A6T4N4	A6T4N4	56
29.3345527648926	29.1266479492188	28.6735248565674				9	9	9	37.3	37.3	37.3	32.731	0	54.725	6706700000	58	A6T4N5	A6T4N5	57
28.414134979248	28.0796661376953	28.3375797271729				5	5	5	17	17	17	31.3	0	10.7	3760600000	25	A6T4N6	A6T4N6	58
32.9792747497559	32.6751098632813	32.9310531616211				22	22	22	69.8	69.8	69.8	45.313	0	226.56	91183000000	373	A6T4N7	A6T4N7	59
35.2595138549805	35.0621223449707	35.1165008544922				35	35	35	97.4	97.4	97.4	40.341	0	323.31	442090000000	928	A6T4N8	A6T4N8	60
31.1526470184326	30.6369667053223	30.8008613586426				14	14	14	44.6	44.6	44.6	34.046	0	127.82	22719000000	138	A6T4N9	A6T4N9	61
34.0513496398926	34.0531845092773	34.0104331970215				47	47	46	55.8	55.8	54.7	101.96	0	323.31	203040000000	681	A6T4P1	A6T4P1	62
29.1277103424072	28.4682731628418	28.8865089416504				5	5	5	98.4	98.4	98.4	7.1899	0	68.579	6475200000	41	A6T4P3	A6T4P3	63
29.5841827392578	29.6428833007813	29.5861301422119				7	7	7	37.7	37.7	37.7	28.64	0	27.95	9378600000	66	A6T4P4	A6T4P4	64
28.984504699707	28.9198379516602	29.0646648406982				8	8	8	57.8	57.8	57.8	22.468	0	81.404	6163000000	64	A6T4P5	A6T4P5	65
34.036247253418	33.887336730957	33.9775505065918				21	21	21	82.4	82.4	82.4	37.278	0	323.31	192140000000	490	A6T4P6	A6T4P6	66
32.6040954589844	32.5142631530762	32.6926956176758				18	18	18	64.6	64.6	64.6	32.745	0	122.32	75139000000	277	A6T4Q0	A6T4Q0	67
29.4578742980957	29.215690612793	29.3918609619141				6	6	6	24.6	24.6	24.6	32.06	0	27.857	8079000000	64	A6T4Q2	A6T4Q2	69
28.9970035552979	28.8006343841553	28.8310623168945				2	2	2	4.6	4.6	4.6	49.55	0	17.374	5666500000	44	A6T4Q5	A6T4Q5	70
29.9879665374756	29.8664379119873	30.0310592651367				10	10	10	41.7	41.7	41.7	29.953	0	34.855	11998000000	102	A6T4Q6	A6T4Q6	71
37.2252426147461	37.2777290344238	37.2285842895508				66	66	66	76.8	76.8	76.8	99.433	0	323.31	1909800000000	5229	A6T4Q7	A6T4Q7	72
36.4204864501953	36.4044761657715	36.295051574707				38	38	38	73.3	73.3	73.3	65.915	0	323.31	1035000000000	2025	A6T4Q8	A6T4Q8	73
36.4522590637207	36.4484100341797	36.4243698120117				30	30	30	61.2	61.2	61.2	50.563	0	323.31	1093100000000	1581	A6T4Q9	A6T4Q9	74
36.449291229248	36.8290748596191	36.7843055725098				59	59	59	84	84	84	91.889	0	323.31	1278600000000	2367	A6T4R3	A6T4R3	76
31.1379566192627	31.2343559265137	31.4094848632813				9	9	9	48.1	48.1	48.1	30.492	0	135.63	28967000000	105	A6T4R5	A6T4R5	77
31.1812953948975	31.1779270172119	31.3520698547363				7	7	7	47.9	47.9	47.9	32.194	0	43.867	29299000000	143	A6T4R6	A6T4R6	78
27.4583740234375	27.3053016662598	27.1869277954102				4	4	4	39.8	39.8	39.8	12.009	0	6.4527	1862200000	26	A6T4R9	A6T4R9	80
30.8753547668457	30.6671657562256	31.7166423797607				20	20	20	51.9	51.9	51.9	57.861	0	60.536	27417000000	203	A6T4S0	A6T4S0	81
34.4787178039551	34.2082443237305	34.1551055908203				41	41	41	69.5	69.5	69.5	85.08	0	323.31	240680000000	725	A6T4S1	A6T4S1	82
31.9778747558594	32.0358734130859	32.0747528076172				15	15	15	70.9	70.9	70.9	20.552	0	250.08	50058000000	204	A6T4S2	A6T4S2	83
29.4974479675293	29.3920574188232	29.2705059051514				5	5	5	39.7	39.7	39.7	23.354	0	21.784	8148800000	73	A6T4S3	A6T4S3	84
30.741096496582	30.5503635406494	30.4944686889648				11	11	11	52.6	52.6	52.6	34.582	0	131.95	18649000000	96	A6T4S4	A6T4S4	85
27.7076644897461	28.2862586975098	28.0688018798828				3	3	3	21.4	21.4	21.4	13.897	0	5.5546	3353300000	21	A6T4S8	A6T4S8	86
32.0820960998535	31.8419036865234	31.7671813964844				18	18	18	68.7	68.7	68.7	31.532	0	118.56	47669000000	234	A6T4S9	A6T4S9	87
31.5177135467529	31.478572845459	31.3077812194824				11	11	11	76.8	76.8	76.8	28.027	0	88.252	33212000000	120	A6T4T0	A6T4T0	88
27.5944175720215	NaN	NaN				5	5	5	45.9	45.9	45.9	17.648	0	15.891	4411000000	14	A6T4T1	A6T4T1	89
31.559778213501	31.582332611084	31.4907035827637				19	19	19	44.4	44.4	44.4	52.4	0	140.14	36010000000	222	A6T4T2	A6T4T2	90
26.7786884307861	NaN	NaN				3	3	3	16.7	16.7	16.7	32.987	0	2.3047	1033800000	14	A6T4T3	A6T4T3	91
32.7693367004395	32.7165298461914	32.759407043457				8	8	8	62.3	62.3	62.3	17.486	0	280.47	82998000000	223	A6T4T4	A6T4T4	92
30.0203247070313	29.844690322876	29.7412071228027				13	13	13	17.1	17.1	17.1	88.666	0	23.043	11320000000	57	A6T4T7	A6T4T7	93
30.693603515625	NaN	32.433422088623				2	2	2	16.5	16.5	16.5	13.754	0.005284	0.28499	28833000000	14	A6T4U4	A6T4U4	94
32.411678314209	32.3414764404297	32.1275329589844				32	32	32	45.4	45.4	45.4	95.66	0	323.31	60471000000	365	A6T4V3	A6T4V3	95
32.0132331848145	31.8786678314209	31.6381187438965				26	26	26	44.9	44.9	44.9	81.38	0	253.53	44206000000	273	A6T4V4	A6T4V4	96
26.5578880310059	NaN	NaN				5	5	5	29.8	29.8	29.8	28.727	0	5.1538	821980000	7	A6T4V5	A6T4V5	97
27.9709606170654	NaN	NaN				5	5	5	18.9	18.9	18.9	32.902	0.00090703	1.3314	2110700000	10	A6T4V6	A6T4V6	98
32.4369735717773	32.5560188293457	32.5001678466797				15	15	15	58	58	58	45.327	0	272.61	69006000000	252	A6T4V8	A6T4V8	99
30.8293190002441	30.6130695343018	30.4980888366699				3	3	3	33.3	33.3	33.3	12.15	0	65.03	19837000000	66	A6T4W0	A6T4W0	100
33.3436241149902	33.1165542602539	33.254638671875				12	12	12	83.6	83.6	83.6	24.504	0	154.82	131170000000	295	A6T4W3	A6T4W3	101
28.7324352264404	28.8757781982422	NaN				4	4	4	10.3	10.3	10.3	59.004	0	3.8848	4180300000	10	A6T4W4	A6T4W4	102
33.261287689209	32.8391799926758	32.685661315918				17	17	17	41.5	41.5	41.5	49.529	0	236.88	98338000000	337	A6T4W5	A6T4W5	103
33.2108535766602	33.0453300476074	33.0016098022461				14	14	14	79.7	79.7	79.7	15.096	0	267.11	104060000000	259	A6T4W7	A6T4W7	104
35.5958633422852	35.5915908813477	35.6086349487305				19	19	19	69.3	69.3	69.3	29.832	0	323.31	603980000000	1231	A6T4W8	A6T4W8	105
28.7072906494141	28.6726398468018	28.5967636108398				16	16	16	23	23	23	101.93	0	34.563	4851700000	49	A6T4W9	A6T4W9	106
32.3510437011719	32.2118339538574	32.3625793457031				14	14	14	70.5	70.5	70.5	29.206	0	138.99	61397000000	277	A6T4X0	A6T4X0	107
35.8959121704102	36.1159133911133	36.0475387573242				21	21	21	81.3	81.3	81.3	26.699	0	323.31	819340000000	1680	A6T4X1	A6T4X1	108
36.8320541381836	36.9757041931152	36.9122734069824				32	32	32	90.1	90.1	90.1	30.45	0	323.31	1490600000000	1773	A6T4X2	A6T4X2	109
32.6950378417969	33.1631622314453	33.1450653076172				11	11	11	66.4	66.4	66.4	25.955	0	202.98	103600000000	375	A6T4X3	A6T4X3	110
33.8747367858887	34.0515098571777	33.9631385803223				14	14	14	69.4	69.4	69.4	19.202	0	226.14	192890000000	581	A6T4X4	A6T4X4	111
29.2907905578613	29.509838104248	29.4199981689453				12	12	12	44	44	44	43.235	0	67.763	8141600000	80	A6T4X5	A6T4X5	112
28.3590297698975	27.8973560333252	28.0371704101563				4	4	4	25.2	25.2	25.2	28.953	0	17.537	3350900000	28	A6T4X6	A6T4X6	113
28.2048759460449	28.3358821868896	28.4122524261475				7	7	7	20.2	20.2	20.2	49.603	0	14.254	3897900000	32	A6T4X8	A6T4X8	114
33.8549613952637	33.7673034667969	33.6952934265137				45	45	45	59.3	59.3	59.3	90.083	0	323.31	167440000000	737	A6T4X9;A6TGX3	A6T4X9	115
34.9902610778809	35.2648315429688	34.9663391113281				8	8	8	49.3	49.3	49.3	16.491	0	185.1	424280000000	469	A6T4Y0	A6T4Y0	116
29.5348091125488	29.4417972564697	29.2298889160156				5	5	5	17.9	17.9	17.9	35.952	0	19.983	8180900000	53	A6T4Y1	A6T4Y1	117
32.4312858581543	32.5804862976074	32.7031784057617				8	8	8	57.6	57.6	57.6	17.025	0	246.83	74994000000	203	A6T4Y2	A6T4Y2	118
31.3624687194824	31.1456489562988	30.9404220581055				11	11	11	47.3	47.3	47.3	28.096	0	141.97	27395000000	122	A6T4Y3	A6T4Y3	119
28.8284015655518	28.7037200927734	28.7772216796875				8	8	8	28.2	28.2	28.2	42.436	0	23.648	5258200000	65	A6T4Y4	A6T4Y4	120
28.1497955322266	28.3252277374268	28.5678062438965				10	10	10	9.9	9.9	9.9	130.03	0	9.7458	3912200000	44	A6T4Y6	A6T4Y6	122
34.369873046875	34.3356628417969	34.2757110595703				28	28	28	87.8	87.8	87.8	35.311	0	323.31	250540000000	580	A6T4Y7	A6T4Y7	123
31.245454788208	31.2378463745117	31.2305450439453				19	19	19	33.2	33.2	33.2	82.644	0	108.44	28779000000	193	A6T4Y8	A6T4Y8	124
29.598991394043	29.3135623931885	29.4264736175537				6	6	6	58.9	58.9	58.9	14.625	0	27.746	8457200000	63	A6T4Y9	A6T4Y9	125
30.5258026123047	30.4054737091064	30.8511219024658				5	5	5	56	56	56	9.4125	0	9.9461	17637000000	39	A6T4Z1	A6T4Z1	126
29.894775390625	29.7069644927979	29.9849510192871				3	3	3	53.5	53.5	53.5	7.6866	0	38.5	12184000000	60	A6T4Z2	A6T4Z2	127
30.8532638549805	30.7576026916504	30.9521293640137				9	9	9	49.4	49.4	49.4	26.403	0	55.67	22231000000	119	A6T4Z5	A6T4Z5	128
34.2398071289063	34.2658309936523	34.1852035522461				35	35	35	75.9	75.9	75.9	63.523	0	323.31	230490000000	655	A6T4Z7	A6T4Z7	129
32.2373580932617	32.235221862793	32.1732559204102				7	7	7	66.7	66.7	66.7	14.316	0	266.99	56884000000	166	A6T4Z9	A6T4Z9	130
35.994270324707	35.6142501831055	35.7948417663574				17	17	17	69.7	69.7	69.7	29.383	0	323.31	704610000000	2123	A6T500	A6T500	131
31.0215015411377	31.0261363983154	31.0423793792725				3	3	3	18	18	18	23.209	0	48.799	25610000000	56	A6T501	A6T501	132
33.1017646789551	32.7850379943848	32.9121055603027				20	20	20	67.3	67.3	67.3	37.633	0	311.67	94183000000	387	A6T502	A6T502	133
30.3245735168457	30.2411060333252	30.4883556365967				5	5	5	39.5	39.5	39.5	22.883	0	34.816	16503000000	101	A6T503	A6T503	134
29.2111835479736	29.2828559875488	29.0768775939941				10	9	9	49.1	49.1	49.1	29.313	0	21.314	7050400000	37	A6T504	A6T504	135
29.5770683288574	29.4341239929199	29.3643074035645				9	9	9	39.5	39.5	39.5	33.554	0	29.99	8421600000	57	A6T505	A6T505	136
29.7789611816406	29.7488784790039	29.5942077636719				8	8	8	40.7	40.7	40.7	28.831	0	50.825	10001000000	86	A6T507	A6T507	137
30.943754196167	30.9607238769531	30.98264503479				8	8	8	33.6	33.6	33.6	28.165	0	102.34	23959000000	137	A6T508	A6T508	138
30.0438957214355	30.0495376586914	29.9159851074219				10	10	10	37.8	37.8	37.8	28.558	0	51.057	12298000000	84	A6T510	A6T510	139
26.8048324584961	27.0358047485352	26.9293823242188				2	2	2	16.8	16.8	16.8	17.613	0	5.5824	1409700000	14	A6T512	A6T512	141
NaN	26.8427181243896	NaN				2	2	2	9.9	9.9	9.9	27.059	0	3.2787	1046100000	15	A6T513	A6T513	142
30.5150985717773	30.3744888305664	30.4926872253418				10	10	10	54	54	54	29.692	0	72.376	16823000000	131	A6T516	A6T516	143
29.6270637512207	29.2988510131836	29.8361663818359				6	6	6	10.7	10.7	10.7	89.217	0	13.133	8845100000	38	A6T517	A6T517	144
32.586784362793	32.5676803588867	32.5789566040039				11	11	11	78.2	78.2	78.2	20.871	0	128.83	73866000000	226	A6T518	A6T518	145
29.53835105896	29.3031787872314	29.0972881317139				9	9	9	37.3	37.3	37.3	28.758	0	12.388	7704400000	80	A6T519	A6T519	146
28.3483543395996	28.6999835968018	28.344367980957				11	11	11	34	34	34	48.416	0	28.915	4390600000	45	A6T521	A6T521	147
29.2723045349121	29.4766731262207	29.4842796325684				3	3	3	29.9	29.9	29.9	14.627	0	19.127	8134200000	17	A6T523	A6T523	148
26.9180240631104	27.26416015625	26.7177066802979				8	8	8	23.6	23.6	23.6	45.281	0	6.7145	1528500000	23	A6T526	A6T526	149
34.3575477600098	34.1188087463379	34.299186706543				19	19	19	47.7	47.7	47.7	48.289	0	317.94	235350000000	560	A6T531	A6T531	150
32.117561340332	32.3885345458984	32.7580108642578				7	7	7	59.2	59.2	59.2	16.934	0	103.27	66594000000	145	A6T532	A6T532	151
31.0219841003418	31.1022167205811	31.1411914825439				22	22	22	61.8	61.8	61.8	46.931	0	78.206	26821000000	220	A6T533	A6T533	152
30.7965869903564	30.6901073455811	30.8452606201172				6	6	6	40.9	40.9	40.9	15.539	0	38.983	21049000000	107	A6T534	A6T534	153
30.4766731262207	30.0271263122559	29.7905883789063				12	12	12	36.8	36.8	36.8	45.498	0	41.392	13659000000	78	A6T537	A6T537	155
31.9407291412354	31.2669219970703	31.2325305938721				19	19	19	62.9	62.9	62.9	51.711	0	146.72	35532000000	248	A6T538	A6T538	156
33.0854110717773	33.1065864562988	33.1336135864258				20	20	20	56.4	56.4	56.4	44.808	0	323.31	105410000000	394	A6T561	A6T561	159
32.2057838439941	32.0885200500488	32.2141494750977				18	18	18	69.5	69.5	69.5	39.116	0	91.638	56082000000	264	A6T562	A6T562	160
27.3841972351074	NaN	NaN				2	2	2	11.8	11.8	11.8	24.677	0	7.623	1243200000	17	A6T577	A6T577	161
27.7159729003906	27.3776779174805	27.4140548706055				3	3	3	17.6	17.6	17.6	29.68	0	7.2775	2197800000	18	A6T579	A6T579	162
36.6166305541992	36.0434532165527	36.177604675293				23	23	23	75.5	75.5	75.5	28.721	0	323.31	982780000000	1480	A6T580	A6T580	163
29.4927654266357	29.2236080169678	29.3158645629883				6	6	6	10.9	10.9	10.9	50.792	0	20.661	8034300000	71	A6T590	A6T590	164
32.0542869567871	31.8258228302002	31.9948463439941				10	10	10	27.4	27.4	27.4	33.198	0	69.908	47569000000	196	A6T591	A6T591	165
36.2466697692871	35.5525093078613	35.6661186218262				31	31	31	83.4	83.4	83.4	34.197	0	323.31	718440000000	1263	A6T592	A6T592	166
32.8886871337891	31.9438858032227	32.2606811523438				13	13	13	53.3	53.3	53.3	28.155	0	122.29	66192000000	219	A6T593	A6T593	167
29.9919357299805	NaN	29.0596599578857				3	3	3	6.9	6.9	6.9	29.424	0	3.2846	7547600000	32	A6T594	A6T594	168
35.492561340332	35.0624694824219	35.4043197631836				19	19	19	67.1	67.1	67.1	32.365	0	323.31	501920000000	1269	A6T595	A6T595	169
31.4380588531494	31.5084762573242	31.4091625213623				15	15	15	52.8	52.8	52.8	35.455	0	105.37	33441000000	112	A6T597	A6T597	170
27.9615306854248	27.7001342773438	27.4142951965332				3	3	3	9.8	9.8	9.8	46.866	0	9.5782	2514000000	23	A6T5A0	A6T5A0	172
33.8938674926758	33.7467498779297	33.6521301269531				17	17	17	55.3	55.3	55.3	40.822	0	186.57	169640000000	300	A6T5A4	A6T5A4	173
30.1773166656494	30.6351356506348	30.913854598999				6	6	6	45.5	45.5	45.5	10.828	0	34.566	19134000000	152	A6T5A9	A6T5A9	175
32.3732833862305	32.3646545410156	32.3493232727051				8	8	8	36.9	36.9	36.9	28.298	0	130.03	63015000000	191	A6T5B0	A6T5B0	176
NaN	NaN	27.6319103240967				5	5	5	42.1	42.1	42.1	16.859	0	5.2425	2023100000	10	A6T5B1	A6T5B1	177
31.0249996185303	30.7206611633301	30.7956886291504				7	7	7	49.2	49.2	49.2	24.878	0	104.64	22629000000	81	A6T5B2	A6T5B2	178
30.6077194213867	30.7351741790771	30.8740730285645				9	9	9	63.3	63.3	63.3	19.4	0	48.585	20483000000	129	A6T5B3	A6T5B3	179
29.4531993865967	29.3203258514404	29.4972457885742				4	4	4	79.4	79.4	79.4	7.2959	0	113.17	8599100000	41	A6T5B4	A6T5B4	180
29.0684127807617	28.5221481323242	29.023609161377				4	4	4	36.3	36.3	36.3	24.829	0	42.644	5801400000	33	A6T5B5	A6T5B5	181
31.9463863372803	31.8778228759766	31.6215324401855				3	3	3	54.3	54.3	54.3	10.178	0	55.964	44220000000	95	A6T5B6	A6T5B6	182
31.2496318817139	31.1032009124756	31.1692581176758				13	13	13	39.9	39.9	39.9	34.028	0	100.88	27666000000	111	A6T5B7	A6T5B7	183
27.8281364440918	27.8658103942871	27.7881050109863				4	4	4	18.7	18.7	18.7	33.639	0	9.5232	2721700000	24	A6T5B8	A6T5B8	184
30.1395034790039	30.1578521728516	30.0779991149902				18	18	18	24.5	24.5	24.5	117.32	0	63.488	13444000000	60	A6T5B9	A6T5B9	185
27.3579864501953	27.227783203125	27.1547966003418				6	6	6	20.2	20.2	20.2	45.047	0	7.1494	1726200000	22	A6T5C0	A6T5C0	186
28.207426071167	28.5831604003906	28.5990180969238				6	6	6	37.1	37.1	37.1	26.379	0	8.8461	4292100000	35	A6T5C1	A6T5C1	187
29.8726959228516	31.0643920898438	NaN				4	4	4	13.2	13.2	13.2	49.49	0	4.7669	12823000000	14	A6T5C2	A6T5C2	188
35.3269119262695	35.2834091186523	35.3057060241699				15	15	15	87	87	87	22.355	0	323.31	487920000000	622	A6T5D5	A6T5D5	189
30.3159561157227	30.2817974090576	30.1347484588623				9	9	9	36.2	36.2	36.2	39.133	0	48.451	15895000000	103	A6T5D7	A6T5D7	190
30.9292068481445	31.0270690917969	31.0921401977539				19	19	19	61.1	61.1	61.1	42.567	0	104.63	24764000000	191	A6T5D8	A6T5D8	191
33.4890289306641	33.5186729431152	33.2877655029297				4	4	4	28.2	28.2	28.2	11.859	0	32.027	133920000000	128	A6T5D9	A6T5D9	192
33.6179389953613	33.6476593017578	33.4203758239746				29	29	29	48.8	48.8	48.8	65.251	0	303.39	145310000000	415	A6T5E0	A6T5E0	193
30.8876323699951	30.7530879974365	30.8959693908691				8	8	8	26.6	26.6	26.6	35.489	0	76.169	22651000000	112	A6T5E1	A6T5E1	194
33.2425956726074	33.2412338256836	33.14404296875				11	11	11	49	49	49	33.507	0	207.35	114950000000	304	A6T5E4	A6T5E4	195
28.0160961151123	NaN	28.0416851043701				5	5	5	36.3	36.3	36.3	19.344	0	4.396	2226100000	14	A6T5E5	A6T5E5	196
30.8403739929199	30.4943008422852	30.3034477233887				11	11	11	66.4	66.4	66.4	17.139	0	34.182	18272000000	72	A6T5E6	A6T5E6	197
29.5734081268311	29.3374786376953	29.242582321167				13	13	13	50.4	50.4	50.4	40.092	0	34.733	8049800000	73	A6T5E7	A6T5E7	198
34.8001365661621	34.8842010498047	34.5259857177734				7	7	7	87.2	87.2	87.2	16.156	0	138.94	346050000000	492	A6T5E8	A6T5E8	199
