Column	Type	Name	Size	Score	P value	Benj. Hoch. FDR	Mean	Median
Student's T-test Difference LIM_Fe10uM	Keywords	Pyrimidine biosynthesis	10	-0.671075581395349	0.00024649260611728	0.00905860327481003	-0.301142501831055	-0.320024490356445
Student's T-test Difference Fe10uM_Fe100uM	Keywords	4Fe-4S	34	0.350346020761246	0.000450889958149236	0.0441872158986251	0.237989537856158	0.150099754333496
Student's T-test Difference LIM_Fe10uM	Keywords	Arginine biosynthesis	12	-0.57622049789848	0.000567949370136073	0.0185530127577784	-0.279639720916748	-0.373662948608398
Student's T-test Difference LIM_Fe10uM	Keywords	Oxidoreductase	170	0.159005808205635	0.000582326348742619	0.017120394653033	0.142361913007848	0.131600141525269
Student's T-test Difference LIM_Fe100uM	Keywords	Iron transport	6	0.809638942617666	0.000605344822583828	0.0355942755679291	1.06724969546	0.622912168502808
Student's T-test Difference LIM_Fe10uM	Keywords	Nitrate assimilation	4	-0.988647342995169	0.000624725557937304	0.0166972103666879	-1.86700618267059	-2.05546259880066
Student's T-test Difference LIM_Fe100uM	Keywords	Nitrate assimilation	4	-0.951449275362319	0.000994975586185111	0.0487538037230704	-1.00119400024414	-1.02506256103516
Student's T-test Difference LIM_Fe100uM	Keywords	Lipopolysaccharide biosynthesis	12	-0.546152602651148	0.00108834105418139	0.0457103242756183	-0.315635482470195	-0.247950315475464
Student's T-test Difference LIM_Fe100uM	Keywords	TonB box	8	0.657187802516941	0.00131557738419535	0.0483474688691791	1.08879041671753	0.622912168502808
Student's T-test Difference LIM_Fe100uM	Keywords	Receptor	12	0.536453281603621	0.00133373113296492	0.0435685503435209	0.851599852244059	0.493824243545532
Student's T-test Difference LIM_Fe100uM	Keywords	Bacterial microcompartment	4	0.927294685990338	0.00133489394093872	0.0392458818635983	1.12208771705627	1.03470039367676
